name,logo,url
Austin Hou Photography,austinhou,https://500px.com/austinh
Bethany's Organics,bethanysorganics,https://www.facebook.com/bethanysorganics
bgoti,bgoti,http://bgoti.com
Bitcamp,bitcamp,http://bitca.mp
Blissic,blissic,http://blissic.com
BodaBoda,bodaboda,http://bodaboda.org
Custom Spray Solutions,customspraysolutions,http://customspraysolutions.com
Cyber Skyline,cyberskyline,http://www.cyberskyline.com
Daocloud,daocloud,http://daocloud.com
Elite Open Source Hardware,elite,http://www.eliteoshw.com
Essential School Tools,essential,http://essentialschool.tools
Food Recovery Network,frn,http://www.foodrecoverynetwork.org
Grandy,grandy,http://grandy.io
Hidden UMD,hiddenumd,http://hiddenumd.weebly.com
Imaginex,imaginex,http://imaginex.co
Javazen,javazen,http://drinkjavazen.com
Kivvik,kivvik,http://kivvik.com
K. Sultana,ksultana,http://www.ksultana.com
Limidax,limidax,http://www.limidax.com
M3D,m3d,http://printm3d.com
MADE,made,http://www.madefinlit.org
Mars Reel Media,marsreel,http://www.themarsreel.com 
Mindforge Design,mindforge,http://mindforgedesign.com
Mooki,mooki,http://www.mymooki.com
OnCampusChef,oncampuschef,http://www.oncampuschef.com
Parallel,parallel,http://parallel.fm
Project Delta,delta,http://projectdelta.io
Proximity,proximity,
Puzzable,puzzable,http://puzzable.org
Research Connection,researchconnection,http://researchconnection.com
Rushgreek,rushgreek,http://rushgreek.com
Sambition,sambition,http://sambitionphotos.com
Savorfy,savorfy,http://savorfy.com
Spothauc,spothauc,http://spothauc.com
Student Voice,studentvoice,http://stuvoice.org
Sweet Buds,sweetbuds,http://facebook.com/sweetbudsjewelry
Terp Gear,terpgear,http://terpgear.com
Towards The Sun,towardsthesun,http://www.shoptowardsthesun.com
Unwritten,unwritten,http://shopunwritten.com
VentureBoard,ventureboard,http://ventureboard.co
VentureU,ventureu,http://ventureuniversity.co
Vumble,vumble,http://vumble.com
Yolkd,yolkd,http://www.yolkd.com
